Word,Synonym,Haiku
ABASH,Embarrass,"Cheeks flush red with shame / Confidence retreats inside / Pride meets its defeat"
ABOIL,Bubbling,"Water churns with heat / Agitation reaches peak / Turmoil in the pot"
ABUZZ,Humming,"Activity swarms / Excitement fills every space / Energy alive"
ACHED,Hurt,"Pain settled in deep / Body remembered the strain / Soreness lingered on"
ACHOO,Sneeze,"Sudden burst of air / Nose announces its distress / Bless you follows quick"
ACING,Excelling,"Perfect marks achieved / Mastery on full display / Success without fail"
ACTED,Performed,"Stage received the role / Behavior shaped the moment / Pretense became real"
ADDED,Included,"Sum grew with the new / Contribution joined the whole / More than was before"
ADDER,Snake,"Venomous and still / Slithering through British grass / Danger coiled tight"
ADDLE,Confuse,"Mind becomes the fog / Thoughts tangle beyond repair / Clarity has fled"
ADIEU,Goodbye,"French farewell spoken / Parting words with elegance / Until we meet again"
ADIOS,Farewell,"Spanish goodbye calls / Departure with warmth expressed / See you down the road"
ADOBO,Stew,"Filipino feast / Vinegar and soy combine / Comfort in a bowl"
AEGIS,Protection,"Shield guards from above / Sponsorship provides cover / Safety guaranteed"
AERIE,Nest,"Eagle's high-up home / Cliffside dwelling built with care / Sky-bound sanctuary"
AFORE,Before,"In times now long past / Earlier than present day / What came first remains"
AGAVE,Succulent,"Desert plant waits / Tequila's patient mother / Spiky leaves hold sweet"
AGITA,Anxiety,"Stomach churns with stress / Italian worry takes hold / Nerves won't settle down"
AHOLD,Grip,"Grasping something tight / Contact finally achieved / Holding on secure"
AIDED,Helped,"Assistance arrived / Support made the difference / Kindness lent a hand"
AILED,Suffered,"Sickness took its toll / Something troubled deep within / Health was compromised"
AIMED,Targeted,"Focus found its mark / Direction chosen with care / Purpose set in sight"
AIOLI,Sauce,"Garlic meets the oil / Mediterranean delight / Creamy dip awaits"
AIRED,Broadcast,"Waves carried the show / Transmission reached the masses / Freshness filled the room"
AIRER,Rack,"Laundry dries on frame / Clothes hang in the patient wait / Moisture leaves the cloth"
ALDER,Tree,"Riverside it grows / Wood that loves the wetland soil / Catkins in the spring"
ALIAS,Pseudonym,"Name hides the real one / Identity concealed here / Cover story holds"
ALOHA,Greeting,"Hawaiian warmth / Hello goodbye and love / Spirit of the isles"
AMARO,Liqueur,"Bitter herbs infuse / Italian digestive waits / Complex flavors bloom"
AMBIT,Scope,"Boundaries defined / Range of influence measured / Limits clearly set"
AMIGO,Friend,"Spanish friendship speaks / Companion walks beside you / Bond across the tongue"
AMINO,Acid,"Building blocks of life / Proteins form from these small chains / Chemistry of us"
AMOUR,Love,"French passion ignites / Romance spoken tenderly / Heart's deep affection"
AMPED,Excited,"Energy cranked high / Enthusiasm overflows / Ready for the rush"
AMUCK,Wild,"Running without check / Chaos unleashed everywhere / Control abandoned"
ANCHO,Chili,"Dried poblano waits / Mild heat with fruity richness / Mexican flavor"
ANISE,Spice,"Licorice taste blooms / Star-shaped or seed form offered / Distinctive and bold"
ANNAL,Record,"History written / Yearly chronicle maintained / Past preserved in text"
