word,synonym,haiku
CIGAR,Stogie,"Smoke curls in the night / Ember glows between fingers / Ashes drift like snow"
REBUT,Refute,"Words clash in the air / Truth stands firm against the false / Silence wins the day"
SISSY,Timid,"They mock with cruel words / Yet courage wears many masks / Soft hearts can be strong"
HUMPH,Snort,"A breath of disdain / Says more than a thousand words / Pride in one short puff"
AWAKE,Alert,"Eyes open at dawn / The world sharpens into view / Sleep fades like old dreams"
BLUSH,Flush,"Cheeks bloom crimson red / Secrets written on the skin / Heat betrays the heart"
FOCAL,Central,"All lines converge here / The center holds everything / One point of pure light"
EVADE,Dodge,"Slip through grasping hands / Like water finding its way / Gone before they know"
NAVAL,Maritime,"Ships cut through the waves / Salt and steel meet the horizon / Flags snap in the wind"
SERVE,Assist,"Hands extended out / Purpose found in helping others / Joy in giving more"
HEATH,Moor,"Purple heather blooms / Wind sweeps across open land / Wild and beautiful"
DWARF,Tiny,"Small but never less / Giants measured not by height / Strength in little things"
MODEL,Example,"A form to follow / Perfection shaped in hard clay / Others trace the lines"
KARMA,Fate,"What goes comes around / The universe remembers / Seeds become the fruit"
STINK,Reek,"Foul air fills the room / Noses wrinkle in protest / Windows open wide"
GRADE,Rank,"Measured on a scale / Numbers tell a partial tale / Worth is more than marks"
QUIET,Silent,"Stillness settles down / Even heartbeats seem too loud / Peace in empty sound"
BENCH,Seat,"Wood worn smooth by time / Strangers rest then walk away / Stories left behind"
ABATE,Lessen,"The storm loses strength / Fury fades to gentle rain / Calm returns at last"
FEIGN,Pretend,"A mask made of smiles / Truth hides beneath the surface / Acting becomes life"
MAJOR,Chief,"The greater portion / Significance demands note / Weight tips the balance"
DEATH,Demise,"All journeys must end / The final breath slips away / Stars welcome us home"
FRESH,New,"Morning dew on grass / Everything feels possible / Clean slate gleaming bright"
CRUST,Rind,"The hardened outside / Protecting softness within / Break through to the heart"
STOOL,Perch,"Three legs hold you up / A simple place to rest bones / Humble wooden throne"
COLON,Bowel,"The body's dark path / Winding through our inner depths / Life processes on"
ABASE,Humble,"Pride brought to its knees / The mighty learn to bow down / Ego meets the floor"
MARRY,Wed,"Two lives become one / Promises exchanged with rings / Love sealed with a kiss"
REACT,Respond,"Action sparks reply / Cause and effect intertwined / Nothing stands alone"
BATTY,Crazy,"Mind takes a strange turn / Logic packs and leaves the room / Nonsense reigns supreme"
PRIDE,Honor,"Head held up so high / Achievement warms the chest / Walk with shoulders back"
FLOSS,Thread,"Thin string does its work / Between teeth where brushes fail / Small but mighty tool"
HELIX,Spiral,"Round and round it climbs / DNA's elegant dance / Life's blueprint unfolds"
CROAK,Rasp,"Frog calls from the pond / A rough voice breaks the silence / Night songs fill the marsh"
STAFF,Rod,"Wood steadies the walk / Support when the path grows steep / Trust the faithful pole"
PAPER,Sheet,"Trees become flat white / Words find home on empty space / Ideas take form"
UNFED,Hungry,"The belly echoes / Emptiness demands attention / Need gnaws from within"
WHELP,Pup,"Young and full of bounce / Sharp teeth and clumsy soft paws / Growing into fierce"
