word,synonym,haiku
abbot,prior,"Robed in silence deep / He leads his brothers in prayer / Bells call them to God"
abled,capable,"Strong hands grip the rail / What once was lost now returns / Each step a triumph"
abode,dwelling,"Four walls hold my heart / Where memories gather dust / Home waits by the door"
abort,cancel,"Plans fall to the ground / Sometimes we must turn away / New paths lie ahead"
abuse,mistreat,"Words leave deeper scars / Than any fist ever could / Heal what you can heal"
adorn,decorate,"Ribbons catch the light / She drapes beauty on the plain / Art in simple things"
afire,burning,"The hillside glows bright / Orange tongues lick the night sky / Ashes drift like snow"
afoot,walking,"No wheels carry me / Just these two feet on the path / The slow way is best"
afoul,tangled,"Nets twist in the storm / What should flow free now binds tight / Patience frees the knots"
aider,helper,"A hand in the dark / Reaching out when hope runs thin / We rise together"
algae,seaweed,"Green film on still ponds / Life thrives in the murky depths / Sun feeds the smallest"
alibi,excuse,"Where were you that night? / The clock becomes a witness / Truth hides in details"
align,arrange,"Stars form a straight line / Order emerges from chaos / Purpose finds its way"
allay,soothe,"Her voice calms the storm / Worry fades like morning mist / Peace settles like dust"
alley,lane,"Narrow passage waits / Between tall buildings it hides / Shortcuts for the bold"
allot,assign,"Divide what we have / Each portion measured with care / Fairness guides the hand"
alloy,mixture,"Two metals combine / Stronger than either alone / Forged in fire as one"
amaze,astonish,"Eyes wide as the moon / Wonder strikes without warning / Magic still exists"
amend,revise,"The old words won't do / Cross them out and start again / Better lies beneath"
amity,friendship,"Hands clasped without fear / Between us no walls remain / Trust builds its own bridge"
amply,sufficiently,"More than enough here / The cup overflows with grace / Abundance surrounds"
anime,cartoon,"Bright eyes fill the screen / Stories bloom in vivid hues / Dreams drawn frame by frame"
ankle,joint,"The pivot point bends / Carrying weight with each step / Small bones bear so much"
annul,void,"What was joined breaks free / The contract turns to nothing / Start with a clean slate"
aping,mimicking,"The child copies dad / Every gesture reflected / We learn what we see"
apnea,breathless,"Sleep steals the breath away / Silence where there should be air / The body forgets"
arena,stadium,"The crowd roars as one / In this circle dreams are made / Glory or defeat"
armor,protection,"Steel guards the soft heart / Heavy is the price of war / Shields cannot stop time"
arose,awakened,"From slumber she stirred / Dawn light painted her eyelids / A new day begins"
array,collection,"Spread before my eyes / Choices lined up row by row / Which path calls to me"
arson,burning,"Flames born from hatred / What took years to build now falls / Smoke carries the loss"
attic,loft,"Dust motes dance in beams / Old boxes hold yesterday / Memories sleep here"
augur,predict,"Birds wheel in the sky / The old one reads their patterns / Future written there"
aunty,relative,"She pinches my cheek / Her purse holds forbidden sweets / Love without conditions"
avian,birdlike,"Hollow bones take flight / The sky belongs to their kind / We watch from below"
avoid,evade,"Step around the crack / Some things are best left alone / Wisdom knows when not"
axial,central,"Around the core spin / Everything finds its center / The axis holds true"
axion,particle,"Smaller than thought knows / Hidden in the fabric deep / Physics seeks its name"
